,player_id,Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
0,1000,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,0.03,0.03,0.06,0.03,0.06,0.03,0.05,0.08,0.03,0.08
1,1001,Francesco Acerbi,ITA,DF,Inter,Serie A,34,0.0,0.07,0.07,0.0,0.07,0.04,0.04,0.08,0.04,0.08
2,1002,Marcos Acuña,ARG,DF,Sevilla,La Liga,30,0.14,0.09,0.24,0.14,0.24,0.05,0.2,0.26,0.05,0.26
3,1003,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,20,0.39,0.32,0.71,0.39,0.71,0.33,0.24,0.57,0.28,0.52
4,1004,Yacine Adli,FRA,"MF,FW",Milan,Serie A,22,0.0,0.0,0.0,0.0,0.0,0.05,0.16,0.22,0.05,0.22
5,1005,Manuel Akanji,SUI,DF,Manchester City,Premier League,27,0.0,0.04,0.04,0.0,0.04,0.05,0.02,0.07,0.05,0.07
6,1006,Nathan Aké,NED,DF,Manchester City,Premier League,27,0.05,0.0,0.05,0.05,0.05,0.07,0.04,0.11,0.07,0.11
7,1007,David Alaba,AUT,DF,Real Madrid,La Liga,30,0.05,0.15,0.2,0.05,0.2,0.04,0.05,0.09,0.04,0.09
9,1009,Jordi Alba,ESP,DF,Barcelona,La Liga,33,0.13,0.19,0.32,0.13,0.32,0.05,0.4,0.44,0.05,0.44
10,1010,Luis Alberto,ESP,MF,Lazio,Serie A,29,0.22,0.26,0.48,0.18,0.44,0.16,0.26,0.42,0.1,0.36
11,1011,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,18,0.15,0.31,0.46,0.15,0.46,0.28,0.25,0.53,0.28,0.53
12,1012,Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,28,0.4,0.07,0.47,0.4,0.47,0.29,0.11,0.4,0.29,0.4
13,1013,Marcos Alonso,ESP,DF,Barcelona,La Liga,31,0.08,0.0,0.08,0.08,0.08,0.07,0.03,0.09,0.07,0.09
14,1014,Carlos Álvarez,ESP,MF,Sevilla,La Liga,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
