,player_id,Player,Nation,Pos,Squad,Comp,Age,Predicted_Gls
0,1000,Brenden Aaronson,USA,MF,Union Berlin,Bundesliga,22,0.002584291622042656
1,1001,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,23,0.002888161689043045
2,1002,Francesco Acerbi,ITA,DF,Inter,Serie A,35,0.006974969059228897
3,1003,Marcos Acuña,ARG,DF,Sevilla,La Liga,31,0.0029751695692539215
4,1004,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,21,0.007661301642656326
5,1005,Yacine Adli,FRA,MF,Milan,Serie A,23,0.003491358831524849
6,1006,Ruben Aguilar,FRA,DF,Lens,Ligue 1,30,2.5369226932525635e-06
7,1007,Manuel Akanji,SUI,DF,Manchester City,Premier League,28,0.0024385228753089905
8,1008,Nathan Aké,NED,DF,Manchester City,Premier League,28,0.28713348507881165
9,1009,David Alaba,AUT,DF,Real Madrid,La Liga,31,0.0
10,1010,Luis Alberto,ESP,MF,Lazio,Serie A,31,0.30359676480293274
11,1011,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,19,0.007012378424406052
12,1012,Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,29,0.22206661105155945
13,1013,Marcos Alonso,ESP,DF,Barcelona,La Liga,32,0.001272842288017273
14,1014,Julián Álvarez,ARG,MF,Manchester City,Premier League,23,0.33605441451072693
15,1015,Sofyan Amrabat,MAR,DF,Manchester Utd,Premier League,27,0.0026022735983133316
16,1016,Elliot Anderson,SCO,MF,Newcastle Utd,Premier League,20,0.0
17,1017,Felipe Anderson,BRA,FW,Lazio,Serie A,30,0.0
18,1018,Antony,BRA,"FW,MF",Manchester Utd,Premier League,23,0.0
19,1019,Ronald Araújo,URU,DF,Barcelona,La Liga,24,0.0035620443522930145
20,1020,Marko Arnautović,AUT,FW,Inter,Serie A,34,0.0
21,1021,Kepa Arrizabalaga,ESP,GK,Real Madrid,La Liga,28,0.0026022735983133316
22,1022,Marco Asensio,ESP,FW,Paris S-G,Ligue 1,27,0.7029356360435486
23,1023,Kristjan Asllani,ALB,MF,Inter,Serie A,21,0.007364783436059952
24,1024,Yann Aurel Bisseck,GER,DF,Inter,Serie A,22,0.0026022735983133316
25,1025,Neil El Aynaoui,FRA,MF,Lens,Ligue 1,22,0.006503656506538391
26,1026,César Azpilicueta,ESP,DF,Atlético Madrid,La Liga,34,0.0
27,1027,Loïc Bade,FRA,DF,Sevilla,La Liga,23,0.004802495241165161
28,1028,Alejandro Balde,ESP,DF,Barcelona,La Liga,19,0.0024937856942415237
29,1029,Bradley Barcola,FRA,"MF,FW",Paris S-G,Ligue 1,21,0.0
30,1030,Nicolò Barella,ITA,MF,Inter,Serie A,26,0.00237177312374115
31,1031,Harvey Barnes,ENG,FW,Newcastle Utd,Premier League,25,0.4285755455493927
32,1032,Ander Barrenetxea,ESP,"FW,MF",Real Sociedad,La Liga,21,0.7151000499725342
33,1033,Pablo Barrios,ESP,MF,Atlético Madrid,La Liga,20,0.00253426656126976
34,1034,Davide Bartesaghi,ITA,DF,Milan,Serie A,17,0.0026022735983133316
