,Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
0,Odisseas Vlachodimos,gr GRE,GK,SL Benfica,por Liga Portugal,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Álex Grimaldo,es ESP,DF,SL Benfica,por Liga Portugal,26.0,0.02142857142857143,0.04,0.06142857142857143,0.012857142857142857,0.05285714285714286,0.017142857142857144,0.055714285714285716,0.07142857142857142,0.01,0.06571428571428571
2,João Mário,pt POR,FW,SL Benfica,por Liga Portugal,29.0,0.08285714285714285,0.03428571428571429,0.11714285714285713,0.04857142857142858,0.08285714285714285,0.09,0.03571428571428571,0.12571428571428572,0.05142857142857143,0.08714285714285715
3,Nicolás Otamendi,ar ARG,DF,SL Benfica,por Liga Portugal,34.0,0.004285714285714286,0.0,0.004285714285714286,0.004285714285714286,0.004285714285714286,0.011428571428571429,0.0014285714285714286,0.012857142857142857,0.011428571428571429,0.012857142857142857
4,António Silva,pt POR,DF,SL Benfica,por Liga Portugal,18.0,0.014285714285714287,0.0,0.014285714285714287,0.014285714285714287,0.014285714285714287,0.02,0.0014285714285714286,0.02142857142857143,0.018571428571428572,0.02
5,Gonçalo Ramos,pt POR,FW,SL Benfica,por Liga Portugal,21.0,0.10714285714285714,0.011428571428571429,0.11857142857142856,0.10714285714285714,0.11857142857142856,0.1142857142857143,0.012857142857142857,0.1285714285714286,0.1142857142857143,0.1285714285714286
6,Rafa Silva,pt POR,"MF,FW",SL Benfica,por Liga Portugal,29.0,0.047142857142857146,0.02428571428571429,0.07142857142857142,0.047142857142857146,0.07142857142857142,0.06999999999999999,0.03428571428571429,0.10428571428571429,0.06571428571428571,0.09999999999999999
7,Florentino Luís,pt POR,MF,SL Benfica,por Liga Portugal,22.0,0.0,0.018571428571428572,0.018571428571428572,0.0,0.018571428571428572,0.0071428571428571435,0.01,0.018571428571428572,0.0071428571428571435,0.018571428571428572
8,Fredrik Aursnes,no NOR,"FW,MF",SL Benfica,por Liga Portugal,26.0,0.011428571428571429,0.02428571428571429,0.03571428571428571,0.011428571428571429,0.03571428571428571,0.02428571428571429,0.018571428571428572,0.04428571428571428,0.02,0.038571428571428576
9,David Neres,br BRA,"FW,MF",SL Benfica,por Liga Portugal,25.0,0.04,0.05285714285714286,0.09142857142857143,0.04,0.09142857142857143,0.03571428571428571,0.05142857142857143,0.08714285714285715,0.03571428571428571,0.08714285714285715
