,Unnamed: 0.1,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
0,0,0,Fredrik Aursnes,no NOR,DF,SL Benfica,por Liga Portugal,27-294,0.02,0.02,0.0414285714285714,0.02,0.0414285714285714,0.0057142857142857,0.0314285714285714,0.0371428571428571,0.0057142857142857,0.0371428571428571
1,1,1,Nicolás Otamendi,ar ARG,DF,SL Benfica,por Liga Portugal,35-230,0.0,0.0,0.0,0.0,0.0,0.0057142857142857,0.00285714285714285,0.00857142857142855,0.0057142857142857,0.00857142857142855
2,2,2,Rafa Silva,pt POR,MF,SL Benfica,por Liga Portugal,30-136,0.0614285714285714,0.08285714285714285,0.1442857142857143,0.0614285714285714,0.1442857142857143,0.08,0.0757142857142857,0.1542857142857143,0.08,0.1542857142857143
3,3,3,Alexander Bah,dk DEN,DF,SL Benfica,por Liga Portugal,25-295,0.02285714285714285,0.0,0.02285714285714285,0.02285714285714285,0.02285714285714285,0.0114285714285714,0.0071428571428571,0.01857142857142855,0.0114285714285714,0.01857142857142855
4,4,4,Orkun Kökçü,tr TUR,MF,SL Benfica,por Liga Portugal,22-275,0.02428571428571425,0.02428571428571425,0.0471428571428571,0.02428571428571425,0.0471428571428571,0.0214285714285714,0.04285714285714285,0.0642857142857143,0.0214285714285714,0.0642857142857143
5,5,5,António Silva,pt POR,DF,SL Benfica,por Liga Portugal,19-335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,6,Ángel Di María,ar ARG,FW,SL Benfica,por Liga Portugal,35-228,0.13,0.0257142857142857,0.1557142857142857,0.10428571428571425,0.13,0.09857142857142855,0.02285714285714285,0.1214285714285714,0.07857142857142856,0.1014285714285714
7,7,7,João Neves,pt POR,MF,SL Benfica,por Liga Portugal,19-003,0.0,0.02857142857142855,0.02857142857142855,0.0,0.02857142857142855,0.01285714285714285,0.0171428571428571,0.03,0.01285714285714285,0.03
8,8,8,João Mário,pt POR,FW,SL Benfica,por Liga Portugal,30-254,0.0,0.0,0.0,0.0,0.0,0.0414285714285714,0.0171428571428571,0.05857142857142855,0.0414285714285714,0.05857142857142855
9,9,9,Petar Musa,hr CRO,FW,SL Benfica,por Liga Portugal,25-210,0.1171428571428571,0.0,0.1171428571428571,0.1171428571428571,0.1171428571428571,0.09999999999999995,0.00428571428571425,0.10428571428571425,0.09999999999999995,0.10428571428571425
10,10,10,Samuel Soares,pt POR,GK,SL Benfica,por Liga Portugal,21-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,11,Anatolii Trubin,ua UKR,GK,SL Benfica,por Liga Portugal,22-060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,12,David Neres,br BRA,FW,SL Benfica,por Liga Portugal,26-211,0.04857142857142855,0.14714285714285716,0.1971428571428571,0.04857142857142855,0.1971428571428571,0.05428571428571425,0.09999999999999995,0.15285714285714286,0.05428571428571425,0.15285714285714286
13,13,13,Arthur,br BRA,FW,SL Benfica,por Liga Portugal,25-158,0.0,0.0,0.0,0.0,0.0,0.04,0.0057142857142857,0.04428571428571425,0.04,0.04428571428571425
14,14,14,Florentino Luís,pt POR,MF,SL Benfica,por Liga Portugal,24-042,0.0,0.0,0.0,0.0,0.0,0.0114285714285714,0.0,0.0114285714285714,0.0114285714285714,0.0114285714285714
15,15,15,David Jurásek,cz CZE,DF,SL Benfica,por Liga Portugal,23-054,0.0,0.0,0.0,0.0,0.0,0.00285714285714285,0.02285714285714285,0.0271428571428571,0.00285714285714285,0.0271428571428571
16,16,16,Morato,br BRA,DF,SL Benfica,por Liga Portugal,22-092,0.0,0.0,0.0,0.0,0.0,0.00285714285714285,0.0,0.00285714285714285,0.00285714285714285,0.00285714285714285
17,17,17,Odisseas Vlachodimos,gr GRE,GK,SL Benfica,por Liga Portugal,29-157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
