,Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,0.03,0.03,0.06,0.03,0.06,0.03,0.05,0.08,0.03,0.08
15,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,0.00,0.07,0.07,0.00,0.07,0.04,0.04,0.08,0.04,0.08
18,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,0.14,0.09,0.24,0.14,0.24,0.05,0.20,0.26,0.05,0.26
24,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,20,0.39,0.32,0.71,0.39,0.71,0.33,0.24,0.57,0.28,0.52
27,Yacine Adli,fr FRA,"MF,FW",Milan,it Serie A,22,0.00,0.00,0.00,0.00,0.00,0.05,0.16,0.22,0.05,0.22
49,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27,0.00,0.04,0.04,0.00,0.04,0.05,0.02,0.07,0.05,0.07
50,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27,0.05,0.00,0.05,0.05,0.05,0.07,0.04,0.11,0.07,0.11
58,David Alaba,at AUT,DF,Real Madrid,es La Liga,30,0.05,0.15,0.20,0.05,0.20,0.04,0.05,0.09,0.04,0.09
59,Ángel Alarcón,es ESP,FW,Barcelona,es La Liga,18,0.00,0.00,0.00,0.00,0.00,,,,,
62,Jordi Alba,es ESP,DF,Barcelona,es La Liga,33,0.13,0.19,0.32,0.13,0.32,0.05,0.40,0.44,0.05,0.44
63,Luis Alberto,es ESP,MF,Lazio,it Serie A,29,0.22,0.26,0.48,0.18,0.44,0.16,0.26,0.42,0.10,0.36
76,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,18,0.15,0.31,0.46,0.15,0.46,0.28,0.25,0.53,0.28,0.53
83,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,28,0.40,0.07,0.47,0.40,0.47,0.29,0.11,0.40,0.29,0.40
84,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,31,0.08,0.00,0.08,0.08,0.08,0.07,0.03,0.09,0.07,0.09
87,Carlos Álvarez,es ESP,MF,Sevilla,es La Liga,18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
89,Julián Álvarez,ar ARG,"FW,MF",Manchester City,eng Premier League,22,0.55,0.00,0.55,0.49,0.49,0.43,0.11,0.54,0.38,0.49
108,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,eng Premier League,19,0.00,0.22,0.22,0.00,0.22,0.22,0.28,0.51,0.22,0.51
109,Felipe Anderson,br BRA,FW,Lazio,it Serie A,29,0.27,0.06,0.33,0.27,0.33,0.18,0.15,0.33,0.18,0.33
121,Marcos Antônio,br BRA,MF,Lazio,it Serie A,22,0.15,0.15,0.30,0.15,0.30,0.18,0.04,0.23,0.18,0.23
123,Antony,br BRA,FW,Manchester Utd,eng Premier League,22,0.20,0.10,0.30,0.20,0.30,0.33,0.14,0.47,0.33,0.47
134,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,23,0.00,0.10,0.10,0.00,0.10,0.10,0.04,0.15,0.10,0.15
145,Sergio Arribas,es ESP,"MF,FW",Real Madrid,es La Liga,20,0.00,0.00,0.00,0.00,0.00,0.74,0.14,0.88,0.74,0.88
156,Marco Asensio,es ESP,"FW,MF",Real Madrid,es La Liga,26,0.56,0.37,0.94,0.56,0.94,0.39,0.30,0.70,0.35,0.65
159,Kristjan Asllani,al ALB,MF,Inter,it Serie A,20,0.00,0.00,0.00,0.00,0.00,0.08,0.14,0.22,0.08,0.22
165,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,33,0.00,0.00,0.00,0.00,0.00,1.18,0.00,1.18,1.18,1.18
185,Sanoussy Ba,de GER,DF,RB Leipzig,de Bundesliga,18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
188,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,22,0.06,0.00,0.06,0.06,0.06,0.02,0.01,0.02,0.02,0.02
203,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
208,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,18,0.04,0.22,0.25,0.04,0.25,0.07,0.18,0.25,0.07,0.25
215,Fodé Ballo-Touré,sn SEN,DF,Milan,it Serie A,25,0.17,0.00,0.17,0.17,0.17,0.11,0.04,0.15,0.11,0.15
232,Nicolò Barella,it ITA,MF,Inter,it Serie A,25,0.21,0.21,0.41,0.21,0.41,0.11,0.19,0.30,0.11,0.30
240,Ander Barrenetxea,es ESP,"FW,DF",Real Sociedad,es La Liga,20,0.31,0.10,0.41,0.31,0.41,0.31,0.12,0.43,0.31,0.43
242,Pablo Barrios,es ESP,MF,Atlético Madrid,es La Liga,19,0.00,0.12,0.12,0.00,0.12,0.07,0.08,0.15,0.07,0.15
245,Toma Bašić,hr CRO,MF,Lazio,it Serie A,25,0.18,0.00,0.18,0.18,0.18,0.32,0.07,0.39,0.32,0.39
248,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,23,0.00,0.08,0.08,0.00,0.08,0.04,0.11,0.15,0.04,0.15
253,Timo Baumgartl,de GER,DF,Union Berlin,de Bundesliga,26,0.00,0.16,0.16,0.00,0.16,0.03,0.02,0.05,0.03,0.05
266,Sheraldo Becker,sr SUR,FW,Union Berlin,de Bundesliga,27,0.39,0.25,0.63,0.39,0.63,0.23,0.20,0.42,0.23,0.42
269,Donny van de Beek,nl NED,MF,Manchester Utd,eng Premier League,25,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11
272,Kevin Behrens,de GER,FW,Union Berlin,de Bundesliga,31,0.47,0.06,0.53,0.47,0.53,0.28,0.07,0.35,0.28,0.35
281,Raoul Bellanova,it ITA,DF,Inter,it Serie A,22,0.00,0.00,0.00,0.00,0.00,0.12,0.07,0.19,0.12,0.19
284,Héctor Bellerín,es ESP,DF,Barcelona,es La Liga,27,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
286,Jude Bellingham,eng ENG,MF,Dortmund,de Bundesliga,19,0.27,0.13,0.40,0.23,0.37,0.27,0.14,0.41,0.25,0.38
296,Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,24,0.09,0.09,0.18,0.09,0.18,0.04,0.15,0.19,0.04,0.19
302,Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,34,0.84,0.13,0.97,0.53,0.66,0.95,0.26,1.20,0.66,0.91
307,Bartosz Bereszyński,pl POL,DF,Napoli,it Serie A,30,0.00,0.54,0.54,0.00,0.54,0.00,0.10,0.10,0.00,0.10
