Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Milan Borjan,ca CAN,GK,34.0,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Strahinja Eraković,rs SRB,DF,21.0,33,31,2723.0,30.3,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Aleksandar Dragović,at AUT,"DF,MF",31.0,32,29,2587.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Guélor Kanga,ga GAB,MF,31.0,30,29,2449.0,27.2,10.0,11.0,21.0,4.0,6.0,6.0,8.0,0.0,0.37,0.4,0.77,0.15,0.55,Matches
Aleksandar Katai,rs SRB,"FW,MF",31.0,35,27,2455.0,27.3,17.0,9.0,26.0,14.0,3.0,3.0,3.0,0.0,0.62,0.33,0.95,0.51,0.84,Matches
Osman Bukari,gh GHA,"FW,MF",23.0,29,25,1961.0,21.8,12.0,3.0,15.0,12.0,0.0,0.0,3.0,0.0,0.55,0.14,0.69,0.55,0.69,Matches
Aleksandar Pešić,rs SRB,FW,30.0,28,25,1906.0,21.2,11.0,6.0,17.0,11.0,0.0,0.0,4.0,0.0,0.52,0.28,0.8,0.52,0.8,Matches
Mirko Ivanić,me MNE,MF,28.0,29,24,2015.0,22.4,8.0,11.0,19.0,8.0,0.0,0.0,2.0,0.0,0.36,0.49,0.85,0.36,0.85,Matches
Milan Rodić,rs SRB,DF,31.0,26,24,1914.0,21.3,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.05,0.05,0.09,0.05,0.09,Matches
Srđan Mijailović,rs SRB,MF,28.0,25,22,1712.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
Kings Kangwa,zm ZAM,MF,23.0,32,20,1903.0,21.1,8.0,3.0,11.0,8.0,0.0,0.0,4.0,0.0,0.38,0.14,0.52,0.38,0.52,Matches
Stefan Mitrović,rs SRB,MF,19.0,32,17,1465.0,16.3,5.0,2.0,7.0,5.0,0.0,0.0,3.0,0.0,0.31,0.12,0.43,0.31,0.43,Matches
Nemanja Milunović,rs SRB,DF,33.0,20,16,1379.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alex Vigo,ar ARG,DF,23.0,13,12,1110.0,12.3,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.16,0.08,0.24,0.16,0.24,Matches
Marko Gobeljić,rs SRB,"DF,MF",29.0,15,11,1016.0,11.3,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.18,0.09,0.27,0.18,0.27,Matches
Irakli Azarov,ge GEO,DF,20.0,20,10,1043.0,11.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
Marko Rakonjac,me MNE,MF,22.0,13,6,574.0,6.4,4.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.63,0.31,0.94,0.63,0.94,Matches
Stefan Lekovic,rs SRB,DF,18.0,12,5,563.0,6.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches
Ben Nabouhane,km COM,"FW,MF",33.0,11,5,544.0,6.0,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.33,0.5,0.83,0.33,0.83,Matches
Slavoljub Srnić,rs SRB,MF,30.0,15,4,558.0,6.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches
Lazar Nikolić,rs SRB,MF,22.0,8,4,438.0,4.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21,Matches
Jovan Mijatović,rs SRB,FW,17.0,12,4,426.0,4.7,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.21,0.21,0.42,0.21,0.42,Matches
