Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Odisseas Vlachodimos,gr GRE,GK,28.0,34,34,3057.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Álex Grimaldo,es ESP,DF,26.0,33,33,2941.0,32.7,5.0,9.0,14.0,3.0,2.0,2.0,5.0,0.0,3.9,2.3,12.6,14.9,102.0,194.0,400.0,0.15,0.28,0.43,0.09,0.37,0.12,0.39,0.5,0.07,0.46,Matches
João Mário,pt POR,FW,29.0,33,33,2643.0,29.4,17.0,7.0,24.0,10.0,7.0,10.0,6.0,1.0,18.5,10.6,7.4,18.0,81.0,179.0,248.0,0.58,0.24,0.82,0.34,0.58,0.63,0.25,0.88,0.36,0.61,Matches
Nicolás Otamendi,ar ARG,DF,34.0,31,31,2773.0,30.8,1.0,0.0,1.0,1.0,0.0,0.0,11.0,1.0,2.3,2.3,0.4,2.8,25.0,156.0,7.0,0.03,0.0,0.03,0.03,0.03,0.08,0.01,0.09,0.08,0.09,Matches
António Silva,pt POR,DF,18.0,30,30,2692.0,29.9,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,4.1,3.9,0.4,4.3,27.0,120.0,3.0,0.1,0.0,0.1,0.1,0.1,0.14,0.01,0.15,0.13,0.14,Matches
Gonçalo Ramos,pt POR,FW,21.0,30,30,2282.0,25.4,19.0,2.0,21.0,19.0,0.0,0.0,4.0,1.0,20.3,20.3,2.4,22.7,30.0,31.0,125.0,0.75,0.08,0.83,0.75,0.83,0.8,0.09,0.9,0.8,0.9,Matches
Rafa Silva,pt POR,"MF,FW",29.0,28,26,2174.0,24.2,8.0,4.0,12.0,8.0,0.0,0.0,6.0,0.0,11.8,11.0,5.9,16.9,99.0,126.0,239.0,0.33,0.17,0.5,0.33,0.5,0.49,0.24,0.73,0.46,0.7,Matches
Florentino Luís,pt POR,MF,22.0,33,25,2120.0,23.6,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,1.3,1.3,1.7,3.0,11.0,165.0,30.0,0.0,0.13,0.13,0.0,0.13,0.05,0.07,0.13,0.05,0.13,Matches
Fredrik Aursnes,no NOR,"FW,MF",26.0,28,24,2155.0,23.9,2.0,4.0,6.0,2.0,0.0,1.0,5.0,0.0,4.2,3.4,3.1,6.5,48.0,202.0,135.0,0.08,0.17,0.25,0.08,0.25,0.17,0.13,0.31,0.14,0.27,Matches
David Neres,br BRA,"FW,MF",25.0,31,22,1959.0,21.8,6.0,8.0,14.0,6.0,0.0,0.0,2.0,0.0,5.4,5.4,7.7,13.1,94.0,107.0,211.0,0.28,0.37,0.64,0.28,0.64,0.25,0.36,0.61,0.25,0.61,Matches
Alexander Bah,dk DEN,DF,24.0,28,21,1879.0,20.9,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,5.4,5.8,59.0,118.0,163.0,0.05,0.19,0.24,0.05,0.24,0.02,0.26,0.28,0.02,0.28,Matches
Enzo Fernández,ar ARG,MF,21.0,17,17,1382.0,15.4,1.0,5.0,6.0,1.0,0.0,0.0,3.0,0.0,2.1,2.1,3.7,5.7,29.0,183.0,27.0,0.07,0.33,0.39,0.07,0.39,0.14,0.24,0.37,0.14,0.37,Matches
Chiquinho,pt POR,MF,27.0,25,14,1371.0,15.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,2.1,3.3,24.0,134.0,32.0,0.07,0.0,0.07,0.07,0.07,0.08,0.14,0.22,0.08,0.22,Matches
Gilberto,br BRA,DF,29.0,20,8,798.0,8.9,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.1,1.1,2.9,4.0,50.0,45.0,95.0,0.23,0.11,0.34,0.23,0.34,0.13,0.32,0.45,0.13,0.45,Matches
Morato,br BRA,DF,21.0,9,7,648.0,7.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.0,0.3,7.0,38.0,0.0,0.14,0.0,0.14,0.14,0.14,0.04,0.0,0.04,0.04,0.04,Matches
João Neves,pt POR,"MF,FW",17.0,17,6,611.0,6.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.8,1.8,0.2,2.1,5.0,50.0,12.0,0.15,0.0,0.15,0.15,0.15,0.27,0.04,0.31,0.27,0.31,Matches
Gonçalo Guedes,pt POR,"FW,MF",25.0,12,4,409.0,4.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1.3,2.2,21.0,20.0,52.0,0.22,0.22,0.44,0.22,0.44,0.2,0.29,0.49,0.2,0.49,Matches
Julian Draxler,de GER,"MF,FW",28.0,10,4,407.0,4.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,0.6,2.1,10.0,33.0,44.0,0.22,0.0,0.22,0.22,0.22,0.34,0.12,0.46,0.34,0.46,Matches
Petar Musa,hr CRO,FW,24.0,30,2,666.0,7.4,7.0,2.0,9.0,7.0,0.0,0.0,1.0,0.0,7.0,7.0,2.2,9.2,10.0,18.0,40.0,0.95,0.27,1.22,0.95,1.22,0.94,0.29,1.24,0.94,1.24,Matches
Diogo Gonçalves,pt POR,FW,25.0,10,2,302.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9,1.9,18.0,12.0,47.0,0.0,0.0,0.0,0.0,0.0,0.29,0.28,0.57,0.29,0.57,Matches
Mihailo Ristić,rs SRB,DF,26.0,7,1,117.0,1.3,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.8,10.0,4.0,13.0,0.77,0.77,1.54,0.77,1.54,0.18,0.47,0.65,0.18,0.65,Matches
Henrique Araújo,pt POR,"MF,FW",20.0,5,0,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.6,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.72,0.1,0.83,0.72,0.83,Matches
Julian Weigl,de GER,MF,26.0,2,0,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,Matches
Roman Yaremchuk,ua UKR,FW,26.0,2,0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.24,0.2,0.44,0.24,0.44,Matches
Rodrigo Pinho,br BRA,FW,31.0,2,0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.34,0.34,0.34,Matches
Casper Tengstedt,dk DEN,"FW,MF",22.0,4,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches
Lucas Veríssimo,br BRA,DF,27.0,2,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
John Brooks,us USA,"MF,DF",29.0,2,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,2.36,0.0,2.36,Matches
Samuel Soares,pt POR,GK,20.0,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jan Vertonghen,be BEL,DF,35.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cher Ndour,it ITA,MF,18.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andreas Schjelderup,no NOR,FW,18.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gil Bastião Dias,pt POR,"DF,FW",25.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Paulo Bernardo,pt POR,MF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Leo Kokubo,jp JPN,GK,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Helton Leite,br BRA,GK,31.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rafael Rodrigues,pt POR,MF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
João Victor,br BRA,DF,24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.0,34,374,3060.0,34.0,78.0,51.0,129.0,69.0,9.0,13.0,65.0,3.0,87.1,77.0,61.3,138.3,763.0,1955.0,1944.0,2.29,1.5,3.79,2.03,3.53,2.56,1.8,4.36,2.26,4.07,
Opponent Total,,,26.1,34,374,3060.0,34.0,19.0,12.0,31.0,17.0,2.0,2.0,96.0,4.0,23.0,21.4,15.5,36.9,365.0,750.0,747.0,0.56,0.35,0.91,0.5,0.85,0.68,0.46,1.13,0.63,1.08,
