Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Matheus,br BRA,GK,30.0,32,32,2873.0,31.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ricardo Horta,pt POR,"MF,FW",27.0,30,30,2611.0,29.0,14.0,8.0,22.0,13.0,1.0,3.0,4.0,0.0,13.0,10.7,5.8,16.5,56.0,185.0,196.0,0.48,0.28,0.76,0.45,0.72,0.45,0.2,0.65,0.37,0.57,Matches
Iuri Medeiros,pt POR,"MF,FW",28.0,30,29,2059.0,22.9,10.0,6.0,16.0,8.0,2.0,2.0,5.0,0.0,7.8,6.2,9.3,15.5,58.0,128.0,154.0,0.44,0.26,0.7,0.35,0.61,0.34,0.41,0.75,0.27,0.68,Matches
Almoatasem Al Musrati,ly LBY,MF,26.0,28,28,2309.0,25.7,3.0,2.0,5.0,3.0,0.0,0.0,8.0,0.0,1.5,1.5,2.9,4.5,12.0,193.0,12.0,0.12,0.08,0.19,0.12,0.19,0.06,0.11,0.17,0.06,0.17,Matches
André Horta,pt POR,MF,25.0,32,27,2075.0,23.1,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,1.9,1.9,2.9,4.8,66.0,196.0,73.0,0.04,0.17,0.22,0.04,0.22,0.08,0.12,0.21,0.08,0.21,Matches
Vítor Tormena,br BRA,DF,26.0,27,26,2345.0,26.1,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.6,1.6,0.4,2.0,14.0,91.0,2.0,0.04,0.0,0.04,0.04,0.04,0.06,0.02,0.08,0.06,0.08,Matches
Abel Ruiz,es ESP,FW,22.0,34,26,2074.0,23.0,8.0,6.0,14.0,8.0,0.0,0.0,4.0,0.0,7.6,7.6,3.2,10.8,51.0,28.0,180.0,0.35,0.26,0.61,0.35,0.61,0.33,0.14,0.47,0.33,0.47,Matches
Sikou Niakaté,ml MLI,DF,23.0,26,25,2127.0,23.6,3.0,0.0,3.0,3.0,0.0,0.0,6.0,2.0,0.7,0.7,0.2,0.9,15.0,67.0,6.0,0.13,0.0,0.13,0.13,0.13,0.03,0.01,0.04,0.03,0.04,Matches
Nuno Sequeira,pt POR,DF,31.0,27,24,2060.0,22.9,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.3,0.3,2.2,2.5,40.0,112.0,140.0,0.04,0.09,0.13,0.04,0.13,0.01,0.1,0.11,0.01,0.11,Matches
Victor Gomez,es ESP,DF,22.0,26,23,2064.0,22.9,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,3.2,3.3,48.0,95.0,172.0,0.0,0.17,0.17,0.0,0.17,0.0,0.14,0.14,0.0,0.14,Matches
