Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Diogo Costa,pt POR,GK,22.0,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Mehdi Taremi,ir IRN,FW,30.0,33,31,2610.0,29.0,22.0,7.0,29.0,15.0,7.0,8.0,7.0,0.0,20.1,13.8,6.4,20.2,64.0,87.0,208.0,0.76,0.24,1.0,0.52,0.76,0.69,0.22,0.91,0.47,0.69,Matches
Mateus Uribe,co COL,MF,31.0,31,29,2455.0,27.3,4.0,0.0,4.0,2.0,2.0,2.0,8.0,1.0,4.7,3.1,1.2,4.3,16.0,221.0,34.0,0.15,0.0,0.15,0.07,0.07,0.17,0.04,0.22,0.11,0.16,Matches
Pepê,br BRA,"MF,DF",25.0,34,28,2642.0,29.4,4.0,7.0,11.0,4.0,0.0,0.0,2.0,0.0,5.1,5.1,4.5,9.6,101.0,136.0,191.0,0.14,0.24,0.37,0.14,0.37,0.17,0.15,0.33,0.17,0.33,Matches
Otávio,pt POR,MF,27.0,27,25,2266.0,25.2,5.0,7.0,12.0,5.0,0.0,1.0,7.0,0.0,4.4,3.6,7.8,11.4,63.0,263.0,113.0,0.2,0.28,0.48,0.2,0.48,0.17,0.31,0.48,0.14,0.45,Matches
Iván Marcano,es ESP,DF,35.0,25,25,2195.0,24.4,4.0,0.0,4.0,4.0,0.0,0.0,9.0,1.0,2.8,2.6,0.1,2.8,11.0,116.0,4.0,0.16,0.0,0.16,0.16,0.16,0.11,0.01,0.12,0.11,0.11,Matches
Wendell,br BRA,DF,29.0,26,24,1965.0,21.8,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,1.8,2.5,81.0,78.0,110.0,0.05,0.09,0.14,0.05,0.14,0.03,0.08,0.11,0.03,0.11,Matches
Pepe,pt POR,DF,39.0,24,22,1966.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.5,0.8,12.0,112.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,Matches
Galeno,br BRA,"MF,FW",24.0,31,20,1998.0,22.2,8.0,3.0,11.0,7.0,1.0,1.0,4.0,0.0,9.2,8.5,4.7,13.1,129.0,53.0,293.0,0.36,0.14,0.5,0.32,0.45,0.42,0.21,0.63,0.38,0.59,Matches
Stephen Eustáquio,ca CAN,MF,25.0,29,19,1673.0,18.6,2.0,5.0,7.0,2.0,0.0,0.0,4.0,1.0,2.1,2.1,4.8,6.8,8.0,129.0,46.0,0.11,0.27,0.38,0.11,0.38,0.11,0.25,0.36,0.11,0.36,Matches
Evanilson,br BRA,FW,22.0,23,18,1354.0,15.0,7.0,5.0,12.0,7.0,0.0,0.0,1.0,0.0,9.1,9.1,3.0,12.1,16.0,23.0,92.0,0.47,0.33,0.8,0.47,0.8,0.6,0.2,0.8,0.6,0.8,Matches
João Mário Lopes,pt POR,DF,22.0,18,15,1190.0,13.2,1.0,4.0,5.0,1.0,0.0,0.0,3.0,1.0,0.7,0.7,3.1,3.9,47.0,49.0,108.0,0.08,0.3,0.38,0.08,0.38,0.06,0.24,0.29,0.06,0.29,Matches
Fábio Cardoso,pt POR,DF,28.0,17,14,1235.0,13.7,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.3,1.3,0.1,1.4,3.0,36.0,2.0,0.15,0.0,0.15,0.15,0.15,0.09,0.01,0.1,0.09,0.1,Matches
Marko Grujić,rs SRB,MF,26.0,24,14,1126.0,12.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.2,1.2,1.2,2.4,21.0,103.0,18.0,0.08,0.0,0.08,0.08,0.08,0.1,0.1,0.19,0.1,0.19,Matches
Toni Martínez,es ESP,FW,25.0,31,10,1151.0,12.8,5.0,4.0,9.0,5.0,0.0,0.0,0.0,0.0,7.0,7.0,3.8,10.8,21.0,9.0,61.0,0.39,0.31,0.7,0.39,0.7,0.56,0.3,0.86,0.56,0.86,Matches
Zaidu Sanusi,ng NGA,DF,25.0,18,10,1049.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.2,1.5,27.0,52.0,81.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.13,0.02,0.13,Matches
David Carmo,pt POR,DF,23.0,9,7,636.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.0,0.9,3.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches
André Franco,pt POR,"MF,FW",24.0,17,6,697.0,7.7,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.1,2.1,0.7,2.9,20.0,48.0,41.0,0.26,0.0,0.26,0.26,0.26,0.27,0.1,0.37,0.27,0.37,Matches
Rodrigo Conceição,pt POR,DF,22.0,16,6,547.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,29.0,15.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,Matches
Danny Loader,eng ENG,"FW,MF",21.0,22,5,453.0,5.0,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,2.2,2.2,2.6,4.9,17.0,18.0,36.0,0.6,0.4,0.99,0.6,0.99,0.45,0.53,0.99,0.45,0.99,Matches
Wilson Manafá,pt POR,DF,28.0,7,5,308.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,10.0,15.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Bruno Xavier Almeida Costa,pt POR,MF,25.0,6,4,265.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.3,1.9,6.0,15.0,13.0,0.0,0.34,0.34,0.0,0.34,0.21,0.44,0.65,0.21,0.65,Matches
Gabriel Veron,br BRA,"MF,FW",19.0,17,2,405.0,4.5,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.3,1.3,2.0,3.3,19.0,17.0,55.0,0.0,0.44,0.44,0.0,0.44,0.3,0.45,0.75,0.3,0.75,Matches
Cláudio Ramos,pt POR,GK,30.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bernardo Folha,pt POR,"MF,FW",20.0,5,1,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.0,0.1,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches
Gonçalo Borges,pt POR,"FW,MF",21.0,10,0,114.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.5,12.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.42,0.21,0.42,Matches
Vasco Sousa,pt POR,MF,19.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,2.21,0.0,2.21,Matches
Abraham Marcus,ng NGA,FW,22.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fernando,br BRA,"FW,MF",29.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
João Marcelo,br BRA,DF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Samuel Portugal,br BRA,GK,28.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.5,34,374,3060.0,34.0,71.0,49.0,120.0,61.0,10.0,12.0,76.0,5.0,74.0,65.2,52.6,117.8,741.0,1624.0,1604.0,2.09,1.44,3.53,1.79,3.24,2.18,1.55,3.72,1.92,3.47,
Opponent Total,,,25.9,34,374,3060.0,34.0,19.0,12.0,31.0,15.0,4.0,4.0,138.0,12.0,27.8,24.7,17.9,42.6,458.0,866.0,861.0,0.56,0.35,0.91,0.44,0.79,0.82,0.53,1.34,0.73,1.25,
