Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Anatolii Trubin,ua UKR,GK,20.0,28,28,2519.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Mykola Matviyenko,ua UKR,DF,26.0,28,27,2459.0,27.3,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.07,0.11,0.18,0.07,0.18,Matches
Heorhii Sudakov,ua UKR,"MF,FW",19.0,29,27,2305.0,25.6,5.0,7.0,12.0,4.0,1.0,1.0,1.0,0.0,0.2,0.27,0.47,0.16,0.43,Matches
Taras Stepanenko,ua UKR,MF,32.0,26,26,2070.0,23.0,3.0,3.0,6.0,3.0,0.0,0.0,4.0,0.0,0.13,0.13,0.26,0.13,0.26,Matches
Valerii Bondar,ua UKR,DF,23.0,26,25,2267.0,25.2,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches
Artem Bondarenko,ua UKR,MF,21.0,28,25,2199.0,24.4,9.0,5.0,14.0,8.0,1.0,1.0,4.0,0.0,0.37,0.2,0.57,0.33,0.53,Matches
Bohdan Mykhaylychenko,ua UKR,DF,25.0,25,18,1698.0,18.9,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,0.11,0.16,0.27,0.11,0.27,Matches
Yukhym Konoplia,ua UKR,DF,22.0,18,15,1281.0,14.2,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches
Danylo Sikan,ua UKR,"FW,MF",21.0,26,14,1165.0,12.9,9.0,1.0,10.0,8.0,1.0,2.0,2.0,0.0,0.7,0.08,0.77,0.62,0.7,Matches
Oleksandr Zubkov,ua UKR,"MF,FW",25.0,17,13,1071.0,11.9,5.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,0.42,0.25,0.67,0.42,0.67,Matches
Yaroslav Rakitskiy,ua UKR,DF,32.0,13,13,1003.0,11.1,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.09,0.27,0.36,0.09,0.36,Matches
Lassina Franck Traoré,bf BFA,FW,21.0,21,12,1067.0,11.9,4.0,3.0,7.0,4.0,0.0,1.0,5.0,0.0,0.34,0.25,0.59,0.34,0.59,Matches
Dmytro Kryskiv,ua UKR,"MF,FW",21.0,18,12,1035.0,11.5,5.0,4.0,9.0,5.0,0.0,0.0,0.0,0.0,0.43,0.35,0.78,0.43,0.78,Matches
Neven Đurasek,hr CRO,MF,23.0,18,12,888.0,9.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.1,0.2,Matches
Mykhailo Mudryk,ua UKR,MF,21.0,12,11,910.0,10.1,7.0,6.0,13.0,5.0,2.0,3.0,3.0,1.0,0.69,0.59,1.29,0.49,1.09,Matches
Giorgi Gocholeishvili,ge GEO,"DF,FW",21.0,13,9,777.0,8.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
Serhiy Kryvtsov,ua UKR,DF,31.0,9,9,719.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yehor Nazaryna,ua UKR,MF,25.0,20,7,885.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Kevin Kelsy,ve VEN,FW,18.0,14,4,499.0,5.5,5.0,1.0,6.0,5.0,0.0,0.0,3.0,0.0,0.9,0.18,1.08,0.9,1.08,Matches
Lucas Taylor,br BRA,DF,27.0,10,4,458.0,5.1,1.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,0.2,0.39,0.59,0.2,0.59,Matches
Ivan Petryak,ua UKR,MF,28.0,13,4,430.0,4.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.21,0.21,0.42,0.21,0.42,Matches
Maryan Shved,ua UKR,"FW,MF",25.0,10,4,402.0,4.5,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.45,0.45,0.9,0.45,0.9,Matches
Oleh Ocheretko,ua UKR,MF,19.0,13,3,441.0,4.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches
Dmytro Topalov,ua UKR,"DF,MF",24.0,11,3,393.0,4.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.23,Matches
Andriy Totovytskyi,ua UKR,"MF,FW",29.0,9,2,273.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andriy Pyatov,ua UKR,GK,38.0,2,2,152.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marian Farina,be BEL,DF,18.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andriy Boryachuk,ua UKR,"DF,FW",26.0,2,0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Anton Hlushchenko,ua UKR,MF,18.0,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Oleksiy Shevchenko,ua UKR,GK,30.0,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Husrav Toirov,tj TJK,MF,17.0,2,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Viktor Korniienko,ua UKR,DF,23.0,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Eduard Kozik,ua UKR,DF,19.0,3,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrii Kulakov,ua UKR,FW,23.0,0,0,,,,,,,,,,,,,,,,Matches
Tymur Puzankov,ua UKR,GK,19.0,0,0,,,,,,,,,,,,,,,,Matches
Dmytro Riznyk,ua UKR,GK,23.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,24.3,30,330,2700.0,30.0,67.0,50.0,117.0,62.0,5.0,8.0,47.0,4.0,2.23,1.67,3.9,2.07,3.73,
Opponent Total,,,26.5,30,330,2700.0,30.0,20.0,15.0,35.0,18.0,2.0,2.0,58.0,7.0,0.67,0.5,1.17,0.6,1.1,
