Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Mohamed Aly Camara,gn GUI,DF,26-055,8,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Anthony Racioppi,ch SUI,GK,24-295,8,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Filip Ugrinic,ch SUI,"MF,FW",24-290,8,8,632.0,7.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.14,0.43,0.57,0.14,0.57,Matches
Saidy Janko,gm GAM,DF,28-000,8,7,625.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Meschak Elia,cd COD,"FW,MF",26-077,9,7,624.0,6.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.14,0.14,0.29,0.14,0.29,Matches
Joel Monteiro,pt POR,MF,24-078,8,6,433.0,4.8,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.62,0.0,0.62,0.62,0.62,Matches
Darian Males,ch SUI,MF,22-172,7,5,473.0,5.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.19,Matches
Cheikh Niasse,sn SEN,MF,23-276,6,5,451.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Loris Benito,ch SUI,DF,31-288,5,5,450.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.4,0.2,0.4,Matches
Aurele Amenda,ch SUI,DF,20-083,6,5,441.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jean-Pierre Nsame,cm CMR,FW,30-174,8,5,376.0,4.2,5.0,0.0,5.0,4.0,1.0,1.0,0.0,0.0,1.2,0.0,1.2,0.96,0.96,Matches
Cedric Itten,ch SUI,FW,26-299,9,4,400.0,4.4,4.0,1.0,5.0,3.0,1.0,1.0,1.0,0.0,0.9,0.23,1.13,0.68,0.9,Matches
Silvère Ganvoula M'Boussy,cg CGO,FW,27-122,8,3,342.0,3.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches
Ulisses Garcia,ch SUI,DF,27-284,5,3,321.0,3.6,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.28,0.84,1.12,0.28,1.12,Matches
Łukasz Łakomy,pl POL,"MF,FW",22-277,7,3,319.0,3.5,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.28,0.56,0.85,0.28,0.85,Matches
Fabian Lustenberger,ch SUI,DF,35-173,4,3,281.0,3.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.32,0.0,0.32,0.32,0.32,Matches
Fabian Rieder,ch SUI,"MF,FW",21-248,3,3,270.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.33,0.33,0.67,0.33,0.67,Matches
Noah Persson,se SWE,DF,20-098,4,3,187.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lewin Blum,ch SUI,DF,22-102,6,2,217.0,2.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.41,Matches
Sandro Lauper,ch SUI,MF,26-362,3,2,186.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kastriot Imeri,ch SUI,MF,23-117,5,1,131.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.69,0.0,0.69,Matches
Ebrima Colley,gm GAM,MF,23-263,2,1,105.0,1.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.86,0.0,0.86,Matches
David von Ballmoos,ch SUI,GK,28-296,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Miguel Chaiwa,zm ZAM,MF,19-198,1,1,75.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Donat Rrudhani,xk KVX,MF,24-173,3,0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marvin Keller,ch SUI,GK,21-111,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,25.7,9,99,810.0,9.0,20.0,16.0,36.0,18.0,2.0,2.0,19.0,0.0,2.22,1.78,4.0,2.0,3.78,
Opponent Total,,,25.7,9,99,810.0,9.0,9.0,6.0,15.0,8.0,1.0,1.0,16.0,0.0,1.0,0.67,1.67,0.89,1.56,
