Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jelle Bataille,be BEL,DF,24-155,10,10,900.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,1.5,2.3,37.0,82.0,87.0,0.1,0.0,0.1,0.1,0.1,0.08,0.15,0.23,0.08,0.23,Matches
Jean Butez,fr FRA,GK,28-136,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches
Arthur Vermeeren,be BEL,MF,18-257,10,10,890.0,9.9,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,1.6,2.5,12.0,83.0,34.0,0.1,0.2,0.3,0.1,0.3,0.09,0.16,0.25,0.09,0.25,Matches
Vincent Janssen,nl NED,FW,29-129,10,10,812.0,9.0,5.0,0.0,5.0,5.0,0.0,2.0,2.0,0.0,5.1,3.6,1.2,4.8,8.0,23.0,54.0,0.55,0.0,0.55,0.55,0.55,0.57,0.14,0.71,0.4,0.53,Matches
Toby Alderweireld,be BEL,DF,34-234,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.1,0.8,2.0,7.0,97.0,6.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.23,0.13,0.22,Matches
Michel-Ange Balikwisha,be BEL,"FW,MF",22-165,10,9,810.0,9.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,1.7,3.2,39.0,52.0,111.0,0.11,0.22,0.33,0.11,0.33,0.17,0.18,0.35,0.17,0.35,Matches
Jurgen Ekkelenkamp,nl NED,MF,23-200,9,8,623.0,6.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.9,3.9,8.0,27.0,36.0,0.14,0.0,0.14,0.14,0.14,0.29,0.27,0.56,0.29,0.56,Matches
Soumaïla Coulibaly,fr FRA,DF,20-008,6,6,488.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Gyrano Kerk,nl NED,"FW,MF",27-324,10,6,465.0,5.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.4,1.4,1.0,2.5,17.0,24.0,68.0,0.19,0.19,0.39,0.19,0.39,0.27,0.2,0.47,0.27,0.47,Matches
Ritchie De Laet,be BEL,DF,34-328,7,6,448.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,8.0,20.0,9.0,0.0,0.2,0.2,0.0,0.2,0.03,0.02,0.05,0.03,0.05,Matches
Mandela Keita,be BEL,MF,21-165,7,5,502.0,5.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.8,10.0,44.0,4.0,0.0,0.18,0.18,0.0,0.18,0.03,0.11,0.14,0.03,0.14,Matches
Arbnor Muja,al ALB,"FW,MF",24-327,10,5,493.0,5.5,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,3.0,3.0,0.9,3.9,20.0,12.0,84.0,0.55,0.18,0.73,0.55,0.73,0.54,0.16,0.71,0.54,0.71,Matches
Owen Wijndal,nl NED,DF,23-328,5,4,352.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,10.0,32.0,19.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.08,0.02,0.08,Matches
Jacob Ondrejka,se SWE,"FW,MF",21-050,4,4,269.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.2,1.9,8.0,12.0,25.0,0.0,0.33,0.33,0.0,0.33,0.25,0.4,0.65,0.25,0.65,Matches
Zeno Van den Bosch,be BEL,DF,20-108,5,2,320.0,3.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,2.0,19.0,0.0,0.0,0.28,0.28,0.0,0.28,0.0,0.08,0.08,0.0,0.08,Matches
Alhassan Yusuf,ng NGA,"MF,DF",23-096,6,2,250.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,6.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches
Gastón Ávila,ar ARG,DF,22-022,2,2,180.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,2.0,16.0,11.0,0.0,0.5,0.5,0.0,0.5,0.03,0.09,0.13,0.03,0.13,Matches
Anthony Valencia,ec ECU,"FW,MF",20-093,7,1,189.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.5,15.0,11.0,27.0,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.25,0.12,0.25,Matches
Sam Vines,us USA,DF,24-144,3,1,57.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,10.0,1.0,1.58,0.0,1.58,1.58,1.58,0.15,0.04,0.19,0.15,0.19,Matches
George Ilenikhena,fr FRA,FW,17-067,8,0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.7,4.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.62,0.09,0.71,0.62,0.71,Matches
Chidera Ejuke,ng NGA,"FW,MF",25-293,3,0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.48,0.48,Matches
Christopher Scott,de GER,MF,21-137,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.29,Matches
Niels Devalckeneer,be BEL,GK,19-158,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
