Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23-290,2000,8,7,619,6.9,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.3,11,20,12,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.00,0.04,Matches
2,Brenden Aaronson,us USA,MF,Union Berlin,de Bundesliga,22-364,2000,5,3,194,2.2,0,0,0,0,0,0,2,1,0.1,0.1,0.2,0.4,1,6,10,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.17,0.06,0.17,Matches
3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,20-056,2003,4,0,39,0.4,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,2,4,3,0.00,2.31,2.31,0.00,2.31,0.00,0.19,0.19,0.00,0.19,Matches
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,36-023,1987,8,8,720,8.0,2,0,2,2,0,0,1,0,0.9,0.9,0.1,1.0,11,38,0,0.25,0.00,0.25,0.25,0.25,0.11,0.01,0.12,0.11,0.12,Matches
5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-209,2000,9,7,637,7.1,0,0,0,0,0,0,1,0,0.8,0.8,0.3,1.1,4,42,12,0.00,0.00,0.00,0.00,0.00,0.12,0.04,0.16,0.12,0.16,Matches
6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-262,1993,8,8,720,8.0,1,1,2,1,0,0,1,0,0.5,0.5,0.5,0.9,3,39,6,0.12,0.12,0.25,0.12,0.25,0.06,0.06,0.12,0.06,0.12,Matches
7,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20-207,2003,2,2,142,1.6,1,0,1,1,0,0,0,0,0.3,0.3,0.8,1.1,3,2,14,0.63,0.00,0.63,0.63,0.63,0.19,0.50,0.69,0.19,0.69,Matches
8,Abner,br BRA,DF,Betis,es La Liga,23-147,2000,7,5,492,5.5,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,5,10,29,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07,Matches
9,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23-245,2000,5,4,376,4.2,3,0,3,2,1,1,0,0,2.2,1.4,0.2,1.6,12,12,35,0.72,0.00,0.72,0.48,0.48,0.52,0.04,0.56,0.33,0.37,Matches
10,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24-225,1999,6,6,539,6.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
11,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-253,1988,5,5,450,5.0,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,6,12,6,0.20,0.00,0.20,0.20,0.20,0.09,0.00,0.09,0.09,0.09,Matches
12,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31-358,1991,4,3,196,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,7,4,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches
