Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Callum McGregor,sct SCO,MF,30-130,8,8,720.0,8.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.37,0.37,0.0,0.37,Matches
Matt O'Riley,dk DEN,MF,22-335,8,8,689.0,7.7,5.0,2.0,7.0,5.0,0.0,0.0,1.0,0.0,0.65,0.26,0.91,0.65,0.91,Matches
Greg Taylor,sct SCO,DF,25-351,8,8,687.0,7.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.13,0.13,0.26,0.13,0.26,Matches
Daizen Maeda,jp JPN,FW,26-002,8,8,673.0,7.5,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.13,0.27,0.4,0.13,0.4,Matches
Kyogo Furuhashi,jp JPN,FW,28-275,8,8,628.0,7.0,4.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.57,0.29,0.86,0.57,0.86,Matches
Joe Hart,eng ENG,GK,36-186,7,7,567.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Liam Scales,ie IRL,DF,25-075,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alistair Johnston,ca CAN,DF,25-014,6,6,483.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
David Turnbull,sct SCO,MF,24-104,6,5,309.0,3.4,3.0,0.0,3.0,1.0,2.0,2.0,1.0,0.0,0.87,0.0,0.87,0.29,0.29,Matches
Gustaf Lagerbielke,se SWE,DF,23-195,5,4,376.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Reo Hatate,jp JPN,MF,25-335,6,3,304.0,3.4,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.59,0.3,0.89,0.3,0.59,Matches
Liel Abada,il ISR,FW,22-019,4,3,243.0,2.7,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.37,0.37,0.74,0.37,0.74,Matches
Yang Hyunjun,kr KOR,FW,21-150,7,3,230.0,2.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.39,0.0,0.39,Matches
Cameron Carter-Vickers,us USA,DF,25-295,3,3,207.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Anthony Ralston,sct SCO,DF,24-340,4,2,237.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Maik Nawrocki,pl POL,DF,22-257,2,2,156.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Scott Bain,sct SCO,GK,31-334,2,1,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
James Forrest,sct SCO,FW,32-107,6,1,132.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luis Enrique Palma,hn HON,FW,23-278,3,1,118.0,1.3,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.53,0.0,1.53,1.53,1.53,Matches
Nathaniel Phillips,eng ENG,DF,26-215,3,1,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Oh Hyeongyu,kr KOR,FW,22-193,5,0,75.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Odin Thiago Holm,no NOR,MF,20-277,4,0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Stephen Welsh,sct SCO,DF,23-276,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alexandro Bernabei,ar ARG,DF,23-028,2,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sead Haksabanović,me MNE,"FW,MF",24-171,1,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tomoki Iwata,jp JPN,"DF,MF",26-198,1,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
