Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Kamil Grabara,pl POL,GK,24-287,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kevin Diks,nl NED,DF,27-016,10,10,829.0,9.2,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.11,0.11,0.22,0.11,0.22,Matches
Denis Vavro,sk SVK,DF,27-195,10,9,827.0,9.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches
Elias Jelert,dk DEN,DF,20-132,10,9,794.0,8.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches
Diogo Gonçalves,pt POR,"MF,FW",26-258,10,9,729.0,8.1,5.0,2.0,7.0,2.0,3.0,3.0,1.0,0.0,0.62,0.25,0.86,0.25,0.49,Matches
Roony Bardghji,se SWE,FW,17-341,11,9,607.0,6.7,6.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,0.89,0.0,0.89,0.89,0.89,Matches
Rasmus Falk,dk DEN,MF,31-280,11,8,785.0,8.7,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.11,0.23,0.34,0.11,0.34,Matches
Elias Achouri,tn TUN,FW,24-254,9,7,599.0,6.7,1.0,5.0,6.0,1.0,0.0,0.0,2.0,0.0,0.15,0.75,0.9,0.15,0.9,Matches
Orri Steinn Óskarsson,is ISL,FW,19-054,10,7,560.0,6.2,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.32,0.16,0.48,0.32,0.48,Matches
Birger Meling,no NOR,DF,28-309,7,6,551.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
William Clem,dk DEN,MF,19-124,8,6,509.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mohamed Elyounoussi,no NOR,"FW,MF",29-079,9,5,522.0,5.8,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.34,0.17,0.52,0.34,0.52,Matches
Lukas Lerager,dk DEN,MF,30-102,10,4,436.0,4.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches
Jordan Larsson,se SWE,FW,26-124,11,4,414.0,4.6,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.22,0.0,0.22,0.22,0.22,Matches
Viktor Claesson,se SWE,"MF,FW",31-293,7,4,406.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Valdemar Jensen,dk DEN,DF,20-147,5,3,385.0,4.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.23,0.0,0.23,0.23,0.23,Matches
Christian Sørensen,dk DEN,DF,31-077,6,3,261.0,2.9,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.03,1.03,0.0,1.03,Matches
Peter Ankersen,dk DEN,DF,33-030,4,2,196.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Oscar Højlund,dk DEN,MF,18-291,4,2,172.0,1.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.0,0.52,Matches
Nicolai Boilesen,dk DEN,DF,31-248,3,2,127.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andreas Cornelius,dk DEN,FW,30-220,4,1,175.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Theo Sander,dk DEN,GK,18-287,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ísak Jóhannesson,is ISL,MF,20-213,2,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Emil Højlund,dk DEN,FW,18-291,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andreas Dithmer,dk DEN,GK,18-082,0,0,,,,,,,,,,,,,,,,Matches
Mamoudou Karamoko,fr FRA,MF,24-044,0,0,,,,,,,,,,,,,,,,Matches
Paul Mukairu,ng NGA,MF,23-277,0,0,,,,,,,,,,,,,,,,Matches
Noah Sahsah,dk DEN,FW,18-106,0,0,,,,,,,,,,,,,,,,Matches
Mateo Tanlongo,ar ARG,MF,19-318,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,25.7,11,121,990.0,11.0,22.0,17.0,39.0,19.0,3.0,3.0,24.0,1.0,2.0,1.55,3.55,1.73,3.27,
Opponent Total,,,26.3,11,121,990.0,11.0,13.0,10.0,23.0,13.0,0.0,0.0,20.0,0.0,1.18,0.91,2.09,1.18,2.09,
