Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Dávid Hancko,sk SVK,DF,25-312,8,8,720.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,1.0,1.8,17.0,56.0,8.0,0.0,0.12,0.12,0.0,0.12,0.1,0.12,0.22,0.1,0.22,Matches
Lutsharel Geertruida,nl NED,DF,23-095,8,8,717.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.1,1.1,1.3,2.4,22.0,69.0,22.0,0.13,0.13,0.25,0.13,0.25,0.14,0.16,0.3,0.14,0.3,Matches
Mats Wieffer,nl NED,MF,23-339,8,8,700.0,7.8,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.8,0.8,0.6,1.4,14.0,71.0,16.0,0.26,0.0,0.26,0.26,0.26,0.1,0.07,0.18,0.1,0.18,Matches
Quinten Timber,nl NED,MF,22-126,8,8,659.0,7.3,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,2.1,2.1,2.7,4.8,23.0,47.0,36.0,0.14,0.55,0.68,0.14,0.68,0.29,0.37,0.66,0.29,0.66,Matches
Quilindschy Hartman,nl NED,DF,21-341,8,8,658.0,7.3,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2.3,2.5,5.0,39.0,32.0,0.0,0.41,0.41,0.0,0.41,0.03,0.32,0.35,0.03,0.35,Matches
Santiago Giménez,mx MEX,FW,22-186,8,8,641.0,7.1,12.0,2.0,14.0,11.0,1.0,1.0,1.0,0.0,8.3,7.5,1.5,9.0,18.0,14.0,58.0,1.68,0.28,1.97,1.54,1.83,1.16,0.21,1.38,1.05,1.27,Matches
Calvin Stengs,nl NED,MF,24-307,8,8,630.0,7.0,2.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,1.7,1.7,3.7,5.4,19.0,46.0,50.0,0.29,0.71,1.0,0.29,1.0,0.24,0.53,0.77,0.24,0.77,Matches
Igor Paixão,br BRA,FW,23-115,8,8,613.0,6.8,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,2.2,2.2,1.6,3.8,20.0,18.0,72.0,0.44,0.29,0.73,0.44,0.73,0.33,0.23,0.56,0.33,0.56,Matches
Timon Wellenreuther,de GER,GK,27-322,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gernot Trauner,at AUT,DF,31-210,6,5,448.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.8,9.0,27.0,1.0,0.0,0.2,0.2,0.0,0.2,0.04,0.12,0.16,0.04,0.16,Matches
Yankuba Minteh,gm GAM,"FW,DF",19-091,8,4,359.0,4.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,3.4,3.4,0.2,3.6,40.0,4.0,66.0,0.75,0.25,1.0,0.75,1.0,0.85,0.05,0.9,0.85,0.9,Matches
Luka Ivanušec,hr CRO,FW,24-329,2,2,160.0,1.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.8,1.0,7.0,14.0,21.0,0.56,0.56,1.13,0.56,1.13,0.14,0.42,0.57,0.14,0.57,Matches
Bart Nieuwkoop,nl NED,DF,27-228,4,2,119.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.4,1.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,0.29,Matches
