Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Sacha Boey,fr FRA,DF,23-039,8,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fernando Muslera,uy URU,GK,37-128,8,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mauro Icardi,ar ARG,FW,30-245,8,7,654.0,7.3,8.0,1.0,9.0,6.0,2.0,2.0,1.0,0.0,1.1,0.14,1.24,0.83,0.96,Matches
Abdülkerim Bardakcı,tr TUR,DF,29-045,8,7,639.0,7.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches
Kerem Aktürkoğlu,tr TUR,MF,25-001,8,7,634.0,7.0,3.0,4.0,7.0,3.0,0.0,0.0,1.0,0.0,0.43,0.57,0.99,0.43,0.99,Matches
Lucas Torreira,uy URU,MF,27-253,7,7,600.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Angeliño,es ESP,DF,26-291,6,5,480.0,5.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.19,0.19,0.0,0.19,Matches
Dries Mertens,be BEL,MF,36-169,7,5,391.0,4.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.0,0.46,Matches
Tetê,br BRA,MF,23-249,6,5,379.0,4.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.0,0.24,Matches
Victor Nelsson,dk DEN,DF,25-008,6,4,383.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kerem Demirbay,de GER,MF,30-111,7,4,369.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Barış Alper Yılmaz,tr TUR,MF,23-152,8,4,331.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Davinson Sánchez,co COL,DF,27-132,3,3,270.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,Matches
Sérgio Oliveira,pt POR,MF,31-142,5,3,233.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kaan Ayhan,tr TUR,DF,28-346,7,2,288.0,3.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.31,0.31,0.0,0.31,Matches
Wilfried Zaha,ci CIV,MF,30-346,5,2,215.0,2.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.42,0.42,Matches
Kazımcan Karataş,tr TUR,DF,20-279,3,2,107.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Hakim Ziyech,ma MAR,MF,30-217,2,1,110.0,1.2,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.82,0.82,1.64,0.82,1.64,Matches
Berkan Kutlu,tr TUR,MF,25-270,2,1,99.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tanguy Ndombele,fr FRA,MF,26-298,3,1,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cédric Bakambu,cd COD,FW,32-194,4,1,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Leo Dubois,fr FRA,DF,29-038,1,1,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Halil Dervişoğlu,tr TUR,FW,23-318,5,0,39.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yunus Akgün,tr TUR,MF,23-107,1,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Hamza Akman,tr TUR,MF,19-025,0,0,,,,,,,,,,,,,,,,Matches
Eyüp Aydın,,MF,19-081,0,0,,,,,,,,,,,,,,,,Matches
Özgur Baran Aksaka,,MF,20-266,0,0,,,,,,,,,,,,,,,,Matches
Emin Bayram,tr TUR,DF,20-203,0,0,,,,,,,,,,,,,,,,Matches
Günay Güvenç,,GK,32-119,0,0,,,,,,,,,,,,,,,,Matches
Fredrik Midtsjø,no NOR,MF,30-072,0,0,,,,,,,,,,,,,,,,Matches
Ali Turap Bülbül,tr TUR,DF,18-270,0,0,,,,,,,,,,,,,,,,Matches
Ali Yeşilyurt,tr TUR,DF,18-084,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.5,8,88,720.0,8.0,15.0,11.0,26.0,13.0,2.0,2.0,14.0,0.0,1.87,1.37,3.25,1.62,3.0,
Opponent Total,,,28.1,8,88,720.0,8.0,4.0,3.0,7.0,4.0,0.0,0.0,18.0,0.0,0.5,0.37,0.87,0.5,0.87,
