Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Walter Benítez,ar ARG,GK,30-276,8,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Joey Veerman,nl NED,MF,24-337,8,8,693.0,7.7,2.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.9,0.9,3.8,4.7,18.0,88.0,14.0,0.26,0.52,0.78,0.26,0.78,0.12,0.49,0.61,0.12,0.61,Matches
Luuk de Jong,nl NED,FW,33-056,8,8,632.0,7.0,7.0,5.0,12.0,5.0,2.0,3.0,1.0,0.0,6.7,4.1,2.7,6.8,1.0,16.0,52.0,1.0,0.71,1.71,0.71,1.42,0.95,0.38,1.33,0.59,0.97,Matches
Patrick van Aanholt,nl NED,DF,33-054,7,7,596.0,6.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,1.5,2.6,18.0,29.0,48.0,0.0,0.15,0.15,0.0,0.15,0.16,0.23,0.39,0.16,0.39,Matches
André Ramalho,br BRA,DF,31-248,8,7,563.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,2.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.07,0.06,0.07,Matches
Noa Lang,nl NED,"FW,MF",24-127,7,7,474.0,5.3,4.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,2.6,2.6,2.5,5.0,35.0,39.0,56.0,0.76,0.19,0.95,0.76,0.95,0.49,0.47,0.95,0.49,0.95,Matches
Olivier Boscagli,fr FRA,DF,25-338,7,6,568.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.7,1.0,13.0,62.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11,0.16,0.05,0.16,Matches
Johan Bakayoko,be BEL,"FW,MF",20-185,8,6,497.0,5.5,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,2.6,4.1,42.0,23.0,112.0,0.18,0.36,0.54,0.18,0.54,0.28,0.46,0.75,0.28,0.75,Matches
Jordan Teze,nl NED,DF,24-022,6,5,478.0,5.3,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.8,0.9,11.0,60.0,36.0,0.0,0.38,0.38,0.0,0.38,0.03,0.14,0.17,0.03,0.17,Matches
Jerdy Schouten,nl NED,"MF,DF",26-283,5,4,405.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.4,0.7,5.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.17,0.07,0.17,Matches
Ismael Saibari,ma MAR,"MF,FW",22-267,7,4,396.0,4.4,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.1,2.1,1.0,3.0,20.0,30.0,30.0,0.23,0.23,0.45,0.23,0.45,0.47,0.22,0.69,0.47,0.69,Matches
