Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Amar Dedić,ba BIH,DF,21-065,10,10,868.0,9.6,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.21,0.21,0.41,0.21,0.41,Matches
Lucas Gourna-Douath,fr FRA,MF,20-078,10,10,857.0,9.5,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.21,0.21,0.0,0.21,Matches
Alexander Schlager,at AUT,GK,27-263,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Karim Konaté,ci CIV,FW,19-215,10,9,698.0,7.8,5.0,2.0,7.0,5.0,0.0,0.0,3.0,0.0,0.64,0.26,0.9,0.64,0.9,Matches
Mads Bidstrup,dk DEN,MF,22-239,9,8,690.0,7.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches
Strahinja Pavlović,rs SRB,DF,22-151,8,8,667.0,7.4,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,0.13,0.27,0.4,0.13,0.4,Matches
Maurits Kjærgaard,dk DEN,"MF,DF",20-118,8,7,623.0,6.9,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.43,0.43,0.0,0.43,Matches
Forson Amankwah,gh GHA,"MF,FW",20-295,9,7,551.0,6.1,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.33,0.33,0.65,0.33,0.65,Matches
Roko Simic,hr CRO,FW,20-042,9,7,537.0,6.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.67,0.67,Matches
Oscar Gloukh,il ISR,FW,19-204,10,6,438.0,4.9,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.41,0.21,0.62,0.41,0.62,Matches
Samson Baidoo,at AUT,DF,19-205,7,5,546.0,6.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,Matches
Aleksa Terzić,rs SRB,DF,24-066,6,5,481.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Oumar Solet,fr FRA,DF,23-257,6,5,395.0,4.4,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.23,0.23,0.46,0.23,0.46,Matches
Nene Dorgeles,ml MLI,FW,20-303,10,3,347.0,3.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.26,0.26,0.52,0.26,0.52,Matches
Kamil Piątkowski,pl POL,DF,23-123,5,2,212.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andreas Ulmer,at AUT,DF,37-357,5,2,197.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dijon Kameri,at AUT,MF,19-185,6,2,162.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sekou Koita,ml MLI,FW,23-328,5,1,178.0,2.0,3.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,1.52,0.0,1.52,1.01,1.01,Matches
Petar Ratkov,rs SRB,FW,20-065,4,1,159.0,1.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.57,0.0,0.57,0.57,0.57,Matches
Luka Sučić,hr CRO,FW,21-044,3,1,114.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nico Mantl,de GER,GK,23-258,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Leandro Morgalla,de GER,DF,19-039,2,1,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicolás Capaldo,ar ARG,MF,26-038,3,0,114.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fernando,br BRA,FW,24-235,2,0,47.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,1.91,0.0,1.91,Matches
Mamady Diambou,ml MLI,MF,20-345,0,0,,,,,,,,,,,,,,,,Matches
Jonas Krumrey,de GER,GK,19-331,0,0,,,,,,,,,,,,,,,,Matches
Douglas Mendes,br BRA,DF,19-131,0,0,,,,,,,,,,,,,,,,Matches
Samson Tijani,ng NGA,MF,21-158,0,0,,,,,,,,,,,,,,,,Matches
Lukas Wallner,at AUT,DF,20-179,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,22.1,10,110,900.0,10.0,24.0,18.0,42.0,23.0,1.0,1.0,14.0,1.0,2.4,1.8,4.2,2.3,4.1,
Opponent Total,,,25.5,10,110,900.0,10.0,7.0,7.0,14.0,7.0,0.0,0.0,34.0,1.0,0.7,0.7,1.4,0.7,1.4,
